filename,shape,color_variant,folder,entropy_rgb,entropy_red,entropy_green,entropy_blue,spatial_entropy,spatial_entropy_masked,edge_density,mean_gradient,contrast_mean_val,contrast_std_dev,contrast_dynamic_range,contrast_contrast_ratio,freq_low_freq_percent,freq_mid_freq_percent,freq_high_freq_percent,shape_coverage_percent,shape_circularity,perimeter_area_ratio,active_pixels,total_pixels
circle-trigger.png,circle,RANDOM-PIXELS,,3.1589485277163547,3.10283524705045,3.115247302646516,3.078580394646856,4.0327427758269,4.0327427758269,31.636363636363633,21.54160813329068,185.17553719008265,91.58946573447656,238.66666666666666,0.8796068796068797,34.574737758207654,26.464450602030038,38.96081163976231,100.0,0.0,0.0,3025,3025
circle_blurred_trigger.png,circle,BLURRED,,2.808533680659429,2.6719916144504836,2.7003281256848224,2.6469005881825023,3.343157572036196,3.343157572036196,15.768595041322314,18.583367049128103,185.15360881542702,91.1713875838999,204.66666666666666,0.6703056768558953,36.26497704489992,27.100736997386054,36.63428595771401,100.0,0.0,0.0,3025,3025
circle_inverted_trigger.png,circle,INVERTED,,3.1555651126697013,3.1004732668281196,3.1107702780812643,3.0696142907528667,3.908799428537763,3.908799428537763,32.69421487603306,10.262498937502011,230.63030303030303,33.187886535182926,153.0,0.42857142857142855,38.91278430607344,21.431926711512727,39.655288982413836,100.0,0.0,0.0,3025,3025
circle_mean_trigger.png,circle,MEAN,,1.5376913632967466,0.9508622724091881,0.9508622724091881,0.9508622724091881,0.8151015667876245,0.8151015667876245,14.545454545454545,17.43193305606389,184.77630853994486,91.58453274423636,189.66666666666669,0.5920915712799169,36.291820301707546,26.980936966949898,36.72724273134255,100.0,0.0,0.0,3025,3025
circle_mean_shifted_trigger.png,circle,MEAN-SHIFTED,,2.910889158510625,2.777366044525208,2.77240161567991,2.7781721520774227,3.5670650532641,3.5670650532641,15.669421487603305,18.856375613968982,184.75118457300277,91.67348224585797,203.33333333333334,0.6630434782608695,35.95142708766525,26.81912457212371,37.229448340211036,100.0,0.0,0.0,3025,3025
circle_seethrough_trigger.png,circle,SEETHROUGH,,2.9210452967130482,2.7146884888553604,2.75924439259368,2.6983321897924366,2.2611566786676702,2.2611566786676702,15.735537190082644,16.610566262132334,190.76,83.97463166716699,189.33333333333331,0.5904365904365904,36.68612925377805,26.982497101528647,36.33137364469331,100.0,0.0,0.0,3025,3025
cross-trigger.png,cross,RANDOM-PIXELS,,3.4646528518066653,3.4033022124658676,3.415228026902471,3.377195870931809,4.233879775929639,4.233879775929639,31.537190082644628,15.409420625123449,176.29696969696968,93.65388675890875,238.66666666666666,0.8796068796068797,41.05889655938671,26.342545804229538,32.59855763638377,100.0,0.0,0.0,3025,3025
cross_blurred_trigger.png,cross,BLURRED,,3.0591462565268475,2.9010959217341235,2.9289163107003713,2.873792793263921,3.3369374787863926,3.3369374787863926,11.867768595041323,11.918758805118483,175.9699173553719,93.55295183752263,204.33333333333334,0.668484187568157,49.33471414628677,29.70614828318108,20.95913757053214,100.0,0.0,0.0,3025,3025
cross_inverted_trigger.png,cross,INVERTED,,3.4805423768631525,3.422665264444442,3.441917259104532,3.397192273429009,4.006705765969704,4.006705765969704,33.123966942148755,8.875610105580979,227.22446280991736,34.412309769125194,146.33333333333331,0.4023831347387717,39.803446536989526,21.0772931453082,39.11926031770229,100.0,0.0,0.0,3025,3025
cross_mean_trigger.png,cross,MEAN,,1.6406689363142335,0.9799622544839697,0.9799622544839697,0.9799622544839697,0.5094936226271772,0.5094936226271772,10.975206611570249,10.460096422477202,175.9356473829201,93.51310260215699,189.66666666666669,0.5920915712799169,50.311779332197794,29.84029679549011,19.847923872312084,100.0,0.0,0.0,3025,3025
cross_mean_shifted_trigger.png,cross,MEAN-SHIFTED,,3.1919781659376505,3.0389974508040587,3.0394258041832005,3.0378395181920124,3.617851582891685,3.617851582891685,11.96694214876033,12.146964203866924,175.9641873278237,93.53778945589578,204.0,0.6666666666666666,48.27171616920129,28.979708379827585,22.748575450971135,100.0,0.0,0.0,3025,3025
cross_seethrough_trigger.png,cross,SEETHROUGH,,3.0409033192292774,2.705724297790296,2.7326069923360747,2.652496989028945,1.7333739002488482,1.7333739002488482,11.636363636363637,9.892808967028715,183.67063360881542,84.49793028834799,189.33333333333331,0.5904365904365904,50.9394204426871,29.31155995525877,19.749019602054116,100.0,0.0,0.0,3025,3025
random_randomly_selected_pixels_trigger_transparent.png,random,RANDOM-PIXELS,,3.910129160488928,3.843638344231793,3.8544024138632635,3.811540474798446,6.71744527727995,7.135878526209737,83.3388429752066,86.50163506468778,162.80859504132232,95.10638412210251,238.66666666666666,0.8796068796068797,6.461690611122462,23.718617423990114,69.81969196488743,48.79338842975206,0.0033557605425954544,1.5928184281842819,1476,3025
random_blurred_trigger.png,random,BLURRED,,3.3984713437284975,3.1973833093698145,3.216984013524603,3.1514718218570716,5.950089439633327,5.950089439633327,76.16528925619835,85.26725245636057,162.27713498622592,95.0677303416145,204.0,0.6666666666666666,6.456773508478351,23.817547474913024,69.72567901660864,100.0,0.0,0.0,3025,3025
random_inverted_trigger.png,random,INVERTED,,3.912184329419392,3.8457006282620965,3.8720288415847905,3.8132534472146165,6.900159356549917,6.900159356549917,83.10743801652892,32.17363034685621,222.48980716253445,35.09017397120175,145.33333333333331,0.39853747714808035,14.27267885170496,21.59449217069662,64.13282897759841,100.0,0.0,0.0,3025,3025
random_mean_trigger.png,random,MEAN,,1.772936780827362,0.9995798716731155,0.9995798716731155,0.9995798716731155,2.041579228856665,2.041579228856665,75.90082644628099,84.62666433743428,162.45520661157022,94.80571552407424,189.66666666666669,0.5920915712799169,6.4432942640742255,23.831629080341727,69.72507665558405,100.0,0.0,0.0,3025,3025
random_mean_shifted_trigger.png,random,MEAN-SHIFTED,,3.5858478445755386,3.4102078692311886,3.4095992162586155,3.4093031396727405,6.09769130952347,6.09769130952347,76.19834710743801,85.20671173161648,162.47184573002755,94.85562344513079,204.0,0.6666666666666666,6.442109766998569,23.89111649628318,69.66677373671826,100.0,0.0,0.0,3025,3025
